ZIP,Date,Datatype,Value,Station
07307,2019-04-14T00:00:00,TMIN,60.0,GHCND:USW00094728
07307,2019-04-15T00:00:00,PRCP,0.96,GHCND:USW00094728
07307,2019-04-15T00:00:00,TMAX,65.0,GHCND:USW00094728
07307,2019-04-15T00:00:00,TMIN,46.0,GHCND:USW00094728
07307,2019-04-16T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-16T00:00:00,TMAX,66.0,GHCND:USW00094728
07307,2019-04-16T00:00:00,TMIN,44.0,GHCND:USW00094728
07307,2019-04-17T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-04-17T00:00:00,TMAX,63.0,GHCND:USW00094728
07307,2019-04-17T00:00:00,TMIN,48.0,GHCND:USW00094728
07307,2019-04-18T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-18T00:00:00,TMAX,62.0,GHCND:USW00094728
07307,2019-04-18T00:00:00,TMIN,51.0,GHCND:USW00094728
07307,2019-04-19T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-04-19T00:00:00,TMAX,80.0,GHCND:USW00094728
07307,2019-04-19T00:00:00,TMIN,58.0,GHCND:USW00094728
07307,2019-04-20T00:00:00,PRCP,0.7,GHCND:USW00094728
07307,2019-04-20T00:00:00,TMAX,64.0,GHCND:USW00094728
07307,2019-04-20T00:00:00,TMIN,55.0,GHCND:USW00094728
07307,2019-04-21T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-21T00:00:00,TMAX,66.0,GHCND:USW00094728
07307,2019-04-21T00:00:00,TMIN,53.0,GHCND:USW00094728
07307,2019-04-22T00:00:00,PRCP,0.24,GHCND:USW00094728
07307,2019-04-22T00:00:00,TMAX,64.0,GHCND:USW00094728
07307,2019-04-22T00:00:00,TMIN,52.0,GHCND:USW00094728
07307,2019-04-23T00:00:00,PRCP,0.08,GHCND:USW00094728
07307,2019-04-23T00:00:00,TMAX,77.0,GHCND:USW00094728
07307,2019-04-23T00:00:00,TMIN,56.0,GHCND:USW00094728
07307,2019-04-24T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-24T00:00:00,TMAX,69.0,GHCND:USW00094728
07307,2019-04-24T00:00:00,TMIN,55.0,GHCND:USW00094728
07307,2019-04-25T00:00:00,PRCP,0.02,GHCND:USW00094728
07307,2019-04-25T00:00:00,TMAX,66.0,GHCND:USW00094728
07307,2019-04-25T00:00:00,TMIN,48.0,GHCND:USW00094728
07307,2019-04-26T00:00:00,PRCP,1.03,GHCND:USW00094728
07307,2019-04-26T00:00:00,TMAX,59.0,GHCND:USW00094728
07307,2019-04-26T00:00:00,TMIN,51.0,GHCND:USW00094728
07307,2019-04-27T00:00:00,PRCP,0.07,GHCND:USW00094728
07307,2019-04-27T00:00:00,TMAX,58.0,GHCND:USW00094728
07307,2019-04-27T00:00:00,TMIN,47.0,GHCND:USW00094728
07307,2019-04-28T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-04-28T00:00:00,TMAX,53.0,GHCND:USW00094728
07307,2019-04-28T00:00:00,TMIN,45.0,GHCND:USW00094728
07307,2019-04-29T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-04-29T00:00:00,TMAX,60.0,GHCND:USW00094728
07307,2019-04-29T00:00:00,TMIN,41.0,GHCND:USW00094728
07307,2019-04-30T00:00:00,PRCP,0.04,GHCND:USW00094728
07307,2019-04-30T00:00:00,TMAX,60.0,GHCND:USW00094728
07307,2019-04-30T00:00:00,TMIN,48.0,GHCND:USW00094728
07307,2019-05-01T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-05-01T00:00:00,TMAX,56.0,GHCND:USW00094728
07307,2019-05-01T00:00:00,TMIN,50.0,GHCND:USW00094728
07307,2019-05-02T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-05-02T00:00:00,TMAX,78.0,GHCND:USW00094728
07307,2019-05-02T00:00:00,TMIN,50.0,GHCND:USW00094728
07307,2019-05-03T00:00:00,PRCP,0.06,GHCND:USW00094728
07307,2019-05-03T00:00:00,TMAX,56.0,GHCND:USW00094728
07307,2019-05-03T00:00:00,TMIN,50.0,GHCND:USW00094728
07307,2019-05-04T00:00:00,PRCP,0.11,GHCND:USW00094728
07307,2019-05-04T00:00:00,TMAX,71.0,GHCND:USW00094728
07307,2019-05-04T00:00:00,TMIN,53.0,GHCND:USW00094728
07307,2019-05-05T00:00:00,PRCP,1.31,GHCND:USW00094728
07307,2019-05-05T00:00:00,TMAX,58.0,GHCND:USW00094728
